Cell Type,Gradient:0,Gradient:1,Gradient:2,U:0,U:1,U:2,p,,WSS
9,-17.659,-0.68058,0,0.054849,0.00038731,-7.77E-20,2.5326,,17.67210995
9,-17.506,-0.35769,0,0.055006,-0.0003957,0,2.4889,,17.50965386
9,-17.734,-0.40432,0,0.055407,-0.00075268,0,2.445,,17.73860848
9,-18.161,-0.53724,0,0.055974,-0.00096887,0,2.4002,,18.1689446
9,-18.71,-0.70358,0,0.056715,-0.0011977,7.23E-20,2.3542,,18.72322421
9,-19.587,-0.87682,0,0.057725,-0.0015238,0,2.3067,,19.60661578
9,-20.032,-1.0918,0,0.059068,-0.002011,0,2.2562,,20.06173101
9,-20.522,-1.3108,0,0.061261,-0.0026221,0,2.2066,,20.5638197
9,-27.326,-1.4734,0,0.06302,-0.0032914,1.85E-19,2.1536,,27.36569355
9,-10.473,-37.81,0,0.054157,0.012255,0,2.7081,,39.23365684
9,-10.473,-37.81,0,0.054157,0.012255,0,2.7081,,39.23365684
9,-18.399,-19.565,0,0.059649,0.009885,8.10E-20,2.6623,,26.85726021
9,-17.571,-6.7123,0,0.06108,0.0054004,0,2.6213,,18.80943945
9,-17.924,-2.5854,0,0.061807,0.0020231,-7.90E-20,2.5755,,18.10950218
9,-17.388,-0.81818,0,0.062225,0.00019256,7.77E-20,2.532,,17.4072388
9,-17.473,-0.34195,0,0.062705,-0.00067458,0,2.4886,,17.47634569
9,-17.762,-0.28686,0,0.06327,-0.0010925,0,2.4447,,17.76431627
9,-18.204,-0.3535,0,0.063941,-0.0013671,-1.47E-19,2.3998,,18.20743195
9,-18.761,-0.4561,0,0.06477,-0.001676,-1.45E-19,2.3537,,18.76654332
9,-19.616,-0.52534,0,0.065868,-0.0021241,0,2.306,,19.62303336
9,-20.112,-0.6451,0,0.067328,-0.0028014,-1.38E-19,2.2555,,20.12234325
9,-20.52,-0.69113,0,0.069646,-0.0036226,-1.34E-19,2.2055,,20.53163561
9,-27.265,-0.56495,0,0.071584,-0.0045924,-1.85E-19,2.1529,,27.27085245
9,-4.8289,-27.433,0,0.054159,0.0092865,0,2.6692,,27.85476197
9,-4.8289,-27.433,0,0.054159,0.0092865,0,2.6692,,27.85476197
9,-11.592,-15.04,0,0.060897,0.0081117,-1.63E-19,2.6504,,18.98884051
9,-48.51,-7.8512,0,0.10984,0.01331,0,1.0017,,49.14123972
9,-43.501,-7.0372,0,0.10607,0.014045,0,0.92366,,44.06653135
9,-39.212,-6.2357,0,0.10248,0.014152,1.41E-19,0.85336,,39.70472136
9,-35.449,-5.4953,0,0.099129,0.013876,0,0.78995,,35.87241173
9,-32.168,-4.8521,0,0.09602,0.013353,-1.23E-19,0.73255,,32.53187819
9,-29.317,-4.2863,0,0.093155,0.012644,1.14E-19,0.68038,,29.62868301
9,-26.68,-3.6742,0,0.090537,0.011764,1.06E-19,0.63275,,26.93180547
9,-24.827,-3.3723,0,0.088232,0.010717,9.90E-20,0.58965,,25.05498626
9,-21.401,-2.9105,0,0.086137,0.0096111,0,0.54838,,21.5980048
9,-23.133,-1.8583,0,0.084722,0.0082186,0,0.51683,,23.20751964
9,-58.275,-11.247,0,0.11727,0.0095343,-7.26E-22,1.1812,,59.35040551
9,-54.134,-9.8372,0,0.11331,0.013056,-1.75E-19,1.0826,,55.0205458
9,-47.804,-9.9633,0,0.10915,0.014827,-1.62E-19,0.99563,,48.83123757
9,-42.826,-8.915,0,0.1052,0.015521,-1.51E-19,0.91796,,43.74406818
9,-38.57,-7.9177,0,0.10155,0.015564,-1.41E-19,0.84814,,39.37429204
9,-34.869,-7.0078,0,0.098185,0.015221,0,0.78519,,35.56622586
9,-31.65,-6.2184,0,0.095076,0.01463,0,0.72819,,32.2550926
